order_detail_id,order_id,product_id,quantity,price,created_at,updated_at
2001,1,301,3,396.99,2021-07-07 13:13:43,2022-10-12 14:07:06
2002,2,98,90,180.57,2021-09-15 08:49:53,2022-02-12 01:58:40
2003,3,287,47,689.0,2021-07-11 04:42:06,2022-07-23 11:05:31
2004,4,61,22,582.65,2021-07-20 12:01:23,2022-09-12 21:45:22
2005,5,395,48,122.9,2021-11-26 21:24:28,2022-09-24 08:28:22
2006,6,407,32,673.34,2021-07-24 06:28:30,2022-10-07 02:19:30
2007,7,75,7,970.19,2021-02-20 04:32:11,2022-12-29 14:06:14
2008,8,496,97,788.31,2021-12-20 07:08:45,2022-08-18 15:50:50
2009,9,111,64,897.47,2021-03-06 22:42:27,2022-10-02 08:23:51
2010,10,308,67,586.17,2021-08-11 04:22:58,2022-02-03 02:48:26
2011,11,453,32,19.42,2021-07-27 07:06:36,2022-07-04 19:11:18
2012,12,308,7,337.6,2021-06-17 20:53:55,2022-04-24 10:29:16
2013,13,252,22,702.61,2021-12-22 00:36:43,2022-05-09 16:31:27
2014,14,48,45,154.74,2021-05-03 08:42:24,2022-03-26 23:21:36
2015,15,191,17,823.46,2021-01-01 22:13:48,2022-04-04 21:00:49
2016,16,253,80,747.33,2021-08-21 15:09:13,2022-09-19 12:26:01
2017,17,273,99,443.46,2021-02-13 05:05:02,2022-03-03 13:37:08
2018,18,155,20,746.59,2021-05-03 18:01:16,2022-08-09 10:47:37
2019,19,416,55,964.17,2021-02-03 00:52:09,2022-03-19 23:50:35
2020,20,295,35,30.85,2021-07-18 06:20:31,2022-08-25 23:50:21
2021,21,406,27,637.24,2021-03-20 07:29:17,2022-10-12 08:50:04
2022,22,136,41,945.91,2021-11-05 04:55:36,2022-11-02 03:25:00
2023,23,118,43,305.2,2021-01-13 18:18:51,2022-04-06 08:23:27
2024,24,183,68,342.71,2021-03-11 09:52:47,2022-09-06 18:22:23
2025,25,443,35,542.54,2021-08-04 13:46:11,2022-10-09 19:43:33
2026,26,56,50,503.38,2021-02-24 16:47:43,2022-12-12 14:15:18
2027,27,360,4,176.4,2021-06-01 00:45:12,2022-06-17 22:49:01
2028,28,217,36,460.59,2021-11-29 18:29:04,2022-12-20 01:29:01
2029,29,287,27,984.51,2021-12-08 00:40:43,2022-05-17 04:37:56
2030,30,84,87,207.39,2021-03-07 12:13:25,2022-03-30 21:53:24
2031,31,403,32,331.84,2021-08-27 16:09:57,2022-03-16 09:27:04
2032,32,221,62,660.66,2021-10-03 05:33:47,2022-10-02 13:16:48
2033,33,261,63,401.92,2021-02-21 21:18:21,2022-07-12 03:09:54
2034,34,220,85,709.45,2021-12-12 19:52:58,2022-03-14 17:04:32
2035,35,477,43,843.24,2021-04-02 14:10:35,2022-12-24 12:28:37
2036,36,437,52,513.21,2021-04-16 22:35:19,2022-04-06 18:10:58
2037,37,244,24,861.53,2021-07-04 22:43:12,2022-07-22 16:38:20
2038,38,293,83,500.32,2021-09-21 12:47:27,2022-08-02 11:25:02
2039,39,407,77,21.5,2021-12-28 23:26:51,2022-06-03 14:44:51
2040,40,72,70,550.42,2021-06-11 15:21:22,2022-06-08 20:32:30
2041,41,293,84,181.12,2021-07-11 10:21:26,2022-02-02 23:11:37
2042,42,303,50,783.87,2021-04-05 03:44:26,2022-09-29 19:33:05
