payment_id,order_id,payment_date,payment_method,amount,created_at,updated_at
2001,92,2022-12-09 13:56:04,paypal,5347.65,2021-09-19 13:52:34,2022-05-25 03:52:23
2002,516,2022-11-27 05:14:23,apple_pay,9314.08,2021-07-11 12:00:51,2022-05-22 23:25:27
2003,2543,2022-11-20 15:07:55,apple_pay,7753.58,2021-07-11 00:34:50,2022-07-21 03:41:16
2004,2441,2022-03-27 00:51:11,apple_pay,6071.14,2021-11-24 15:01:49,2022-09-09 08:06:55
2005,1030,2022-10-02 15:35:11,venmo,3844.33,2021-05-14 16:37:15,2022-06-18 12:43:41
2006,1938,2022-01-23 08:37:52,venmo,8402.88,2021-08-18 00:34:32,2022-07-10 14:03:53
2007,1718,2022-06-04 16:25:56,paypal,7216.72,2021-03-10 08:23:17,2022-01-13 17:29:35
2008,1229,2022-10-22 20:41:44,paypal,7392.67,2021-06-01 12:47:05,2022-08-08 20:43:40
2009,1267,2022-12-13 07:10:07,paypal,7057.71,2021-01-19 23:39:00,2022-11-28 15:40:36
2010,344,2022-06-26 19:31:00,credit_card,5457.13,2021-02-06 21:53:04,2022-04-24 17:00:56
2011,863,2022-02-11 06:00:16,credit_card,7811.67,2021-06-23 18:34:45,2022-06-19 05:44:00
2012,2185,2022-07-07 17:56:48,credit_card,2696.05,2021-01-04 13:32:38,2022-08-06 14:01:03
2013,684,2022-09-05 10:47:52,credit_card,2698.86,2021-08-10 22:16:30,2022-02-27 23:35:09
2014,771,2022-01-13 11:43:41,apple_pay,943.59,2021-01-01 12:38:37,2022-05-23 23:48:17
2015,2440,2022-07-08 00:58:39,venmo,382.24,2021-02-20 06:00:00,2022-06-09 19:45:39
2016,612,2022-03-14 00:46:43,paypal,8074.58,2021-10-28 00:17:57,2022-07-09 05:01:35
2017,2159,2022-11-15 00:50:58,venmo,8042.99,2021-04-07 06:52:48,2022-09-06 11:34:20
2018,1791,2022-04-09 13:42:58,paypal,2439.23,2021-03-21 11:20:40,2022-08-18 12:26:15
2019,62,2022-12-17 11:09:18,venmo,945.02,2021-04-11 18:29:21,2022-01-24 00:27:17
2020,2546,2022-07-04 21:43:55,venmo,5591.41,2021-01-10 23:19:32,2022-03-17 05:04:39
2021,1030,2022-10-01 01:24:52,apple_pay,524.62,2021-12-26 14:08:53,2022-06-21 18:11:04
2022,2228,2022-04-07 22:55:56,credit_card,9658.33,2021-08-12 15:33:33,2022-05-09 18:56:39
2023,1770,2022-11-27 12:44:16,paypal,7791.38,2021-03-03 03:13:54,2022-04-30 04:10:45
2024,2608,2022-07-07 07:00:46,credit_card,2677.83,2021-04-18 20:19:03,2022-01-08 21:49:29
2025,1780,2022-08-01 23:24:33,debit_card,7901.99,2021-01-31 20:17:17,2022-07-11 09:25:28
2026,772,2022-05-31 16:42:32,paypal,4240.27,2021-01-07 02:19:53,2022-12-11 10:34:28
2027,2043,2022-02-17 02:53:49,credit_card,3208.54,2021-03-29 23:23:28,2022-04-29 14:34:27
2028,820,2022-04-07 20:50:55,credit_card,2671.35,2021-11-19 13:59:43,2022-03-06 18:13:13
2029,605,2022-10-26 04:26:14,debit_card,6766.48,2021-05-17 03:17:28,2022-05-15 01:22:52
2030,2848,2022-02-24 17:43:49,venmo,5216.2,2021-03-11 04:50:01,2022-09-08 04:00:40
2031,1523,2022-07-01 15:32:30,debit_card,4240.03,2021-05-25 19:04:05,2022-04-10 12:28:10
2032,2801,2022-02-03 02:18:27,credit_card,3565.19,2021-01-12 16:23:27,2022-07-31 02:39:33
2033,2268,2022-10-24 23:29:00,paypal,3803.88,2021-09-12 14:24:51,2022-01-30 13:22:01
2034,2590,2022-06-18 15:39:21,debit_card,7072.36,2021-03-08 05:55:13,2022-03-20 05:45:45
2035,239,2022-12-18 06:04:56,credit_card,4267.42,2021-12-07 10:02:03,2022-06-24 17:42:05
2036,973,2022-04-04 01:06:07,paypal,7937.48,2021-05-07 04:23:39,2022-07-24 06:14:04
2037,751,2022-01-13 10:15:26,apple_pay,5332.14,2021-04-15 20:03:20,2022-06-27 19:41:14
2038,607,2022-12-12 20:38:52,credit_card,8981.93,2021-05-12 17:02:57,2022-09-27 12:49:24
2039,1996,2022-01-29 09:23:00,venmo,6818.01,2021-09-23 14:30:05,2022-05-02 00:37:12
2040,531,2022-07-26 23:15:54,apple_pay,1723.81,2021-07-18 01:36:06,2022-01-18 14:07:07
2041,2033,2022-03-28 16:15:31,debit_card,1012.78,2021-10-07 18:38:47,2022-08-26 11:12:12
2042,1618,2022-12-26 06:32:32,debit_card,2503.39,2021-11-12 02:33:50,2022-02-27 17:47:11
2043,880,2022-11-08 04:29:50,venmo,4905.67,2021-01-13 12:19:16,2022-11-24 07:57:07
2044,1296,2022-05-30 13:51:18,paypal,389.98,2021-03-01 16:40:45,2022-02-11 00:54:28
2045,1422,2022-07-28 15:27:07,apple_pay,6634.24,2021-11-03 21:34:40,2022-01-04 01:25:08
2046,2981,2022-10-17 04:41:07,venmo,7552.24,2021-09-05 20:18:37,2022-05-05 01:37:22
2047,857,2022-03-08 03:39:50,venmo,9472.06,2021-06-25 02:02:31,2022-08-20 01:11:59
2048,1839,2022-07-24 02:58:30,apple_pay,9615.83,2021-09-04 22:18:37,2022-10-14 21:37:45
2049,798,2022-11-30 03:21:23,debit_card,5524.39,2021-12-20 01:58:46,2022-10-16 01:02:00
2050,542,2022-05-11 10:50:19,credit_card,2603.99,2021-08-25 15:46:14,2022-10-10 12:09:25
2051,1242,2022-06-15 08:39:36,paypal,8224.34,2021-01-23 14:41:34,2022-12-22 02:41:47
2052,2748,2022-09-08 15:18:13,debit_card,2585.99,2021-04-08 11:20:22,2022-10-21 20:46:59
2053,184,2022-06-05 12:21:54,venmo,8965.85,2021-12-10 19:13:39,2022-05-31 05:41:14
2054,392,2022-09-05 13:17:33,apple_pay,8522.79,2021-01-10 18:40:44,2022-11-25 19:46:10
2055,2509,2022-08-22 07:18:43,apple_pay,9294.23,2021-10-23 09:44:52,2022-01-19 11:57:37
2056,2479,2022-12-01 19:31:26,credit_card,967.91,2021-12-02 16:31:39,2022-05-03 11:30:19
2057,718,2022-07-21 12:35:36,debit_card,2468.17,2021-08-24 07:31:30,2022-07-19 06:28:32
2058,538,2022-04-24 06:44:24,venmo,7701.56,2021-04-11 21:25:23,2022-08-08 14:11:38
2059,755,2022-01-23 15:53:43,venmo,7383.79,2021-05-17 03:34:48,2022-08-23 11:13:14
2060,1028,2022-05-18 23:52:14,credit_card,8533.05,2021-12-17 05:24:30,2022-06-12 23:51:11
2061,1345,2022-10-23 00:18:58,paypal,4842.43,2021-01-25 09:18:37,2022-05-31 10:16:29
2062,370,2022-12-06 21:53:34,credit_card,1657.31,2021-05-19 12:12:39,2022-07-16 21:42:58
2063,214,2022-06-22 19:11:22,credit_card,1743.89,2021-09-13 14:26:56,2022-11-04 21:48:08
2064,216,2022-11-17 07:24:13,apple_pay,2659.82,2021-04-16 06:35:35,2022-04-27 17:27:00
2065,1259,2022-09-05 11:03:12,credit_card,3298.49,2021-12-19 07:23:01,2022-12-20 21:15:38
2066,2002,2022-04-16 02:50:14,apple_pay,2487.57,2021-07-28 08:58:41,2022-06-19 06:22:44
2067,2689,2022-09-21 01:02:54,paypal,6097.98,2021-04-26 04:53:58,2022-10-13 20:10:48
2068,59,2022-11-14 15:43:49,credit_card,8515.86,2021-07-12 08:14:09,2022-12-03 05:59:48
2069,2257,2022-05-17 15:14:30,apple_pay,1102.94,2021-12-08 16:49:17,2022-01-17 02:25:20
2070,2991,2022-12-13 15:45:10,debit_card,5277.36,2021-06-26 05:00:57,2022-01-05 17:29:27
2071,619,2022-07-22 13:17:09,debit_card,6636.8,2021-11-08 02:00:59,2022-02-15 17:55:00
2072,226,2022-03-27 00:14:23,venmo,3599.17,2021-03-14 17:54:37,2022-01-25 16:50:06
2073,1108,2022-11-01 06:44:53,apple_pay,3190.25,2021-01-08 10:51:50,2022-01-16 14:24:37
2074,1837,2022-09-10 04:41:27,credit_card,9411.51,2021-03-12 21:05:42,2022-08-20 21:39:25
2075,682,2022-12-28 10:34:55,apple_pay,5052.14,2021-07-27 17:27:30,2022-05-15 15:22:46
2076,109,2022-06-04 14:10:05,apple_pay,1807.57,2021-07-01 22:12:02,2022-03-09 20:47:31
2077,376,2022-03-19 04:07:51,credit_card,3895.45,2021-12-14 15:13:48,2022-09-12 14:49:58
2078,2106,2022-12-29 07:44:42,credit_card,9034.1,2021-01-27 16:01:00,2022-09-30 22:19:52
2079,2103,2022-05-24 03:41:10,credit_card,1451.92,2021-08-26 11:29:49,2022-03-03 00:38:23
2080,2119,2022-07-19 10:00:49,credit_card,4391.44,2021-10-24 06:19:05,2022-02-06 23:58:33
2081,2781,2022-10-18 11:07:51,paypal,380.42,2021-10-06 11:46:07,2022-05-28 02:37:00
2082,407,2022-11-14 07:51:53,debit_card,3080.84,2021-10-20 03:36:37,2022-08-21 04:51:10
2083,1067,2022-06-05 03:54:30,paypal,2529.04,2021-09-13 02:00:04,2022-07-15 13:54:47
2084,614,2022-05-02 14:51:49,paypal,8998.14,2021-07-24 01:46:03,2022-04-25 05:34:01
2085,2144,2022-01-03 20:38:10,paypal,9541.45,2021-11-29 05:25:52,2022-07-31 21:07:48
2086,966,2022-09-28 22:53:22,paypal,82.84,2021-07-21 10:56:50,2022-07-30 02:30:08
2087,37,2022-03-08 16:51:17,venmo,3082.64,2021-06-07 11:55:34,2022-04-20 07:24:08
2088,2705,2022-06-17 03:04:37,venmo,1575.45,2021-12-16 08:21:54,2022-04-03 16:07:05
2089,405,2022-11-05 20:12:09,credit_card,9931.11,2021-04-25 22:08:12,2022-10-31 02:19:43
2090,2157,2022-04-29 09:58:15,debit_card,1395.59,2021-09-28 09:01:31,2022-10-22 00:01:33
2091,2242,2022-10-22 06:34:34,credit_card,4267.87,2021-02-22 13:26:00,2022-05-29 15:36:38
2092,1316,2022-07-07 03:09:53,paypal,1890.63,2021-11-24 14:13:20,2022-04-08 08:01:59
2093,2394,2022-01-03 21:11:06,credit_card,950.52,2021-09-05 09:58:30,2022-02-15 13:38:52
2094,1780,2022-12-21 07:37:01,debit_card,2634.32,2021-11-21 01:28:15,2022-02-07 23:44:53
2095,970,2022-07-22 02:39:21,credit_card,6646.2,2021-11-28 05:44:49,2022-12-29 09:26:32
2096,2914,2022-09-09 08:17:13,apple_pay,9482.13,2021-02-19 01:51:15,2022-08-17 14:36:32
2097,1440,2022-11-03 08:45:51,credit_card,9257.46,2021-09-11 00:49:04,2022-02-21 15:27:27
2098,68,2022-05-01 09:59:37,paypal,7105.23,2021-09-02 10:30:12,2022-07-08 17:10:20
2099,1995,2022-07-07 10:37:52,paypal,3988.4,2021-01-18 19:11:54,2022-05-03 21:58:50
2100,543,2022-04-02 10:36:02,paypal,2298.75,2021-10-26 16:27:18,2022-12-22 08:02:28
2101,2180,2022-04-27 13:54:53,apple_pay,254.51,2021-07-25 11:22:39,2022-01-13 18:12:57
2102,821,2022-02-18 22:17:35,debit_card,8103.83,2021-09-20 12:03:23,2022-05-26 18:52:24
2103,1637,2022-11-03 22:26:15,paypal,1511.07,2021-04-06 08:12:36,2022-07-22 18:21:47
2104,1569,2022-12-03 23:47:07,apple_pay,8897.29,2021-01-17 04:05:39,2022-05-11 05:09:07
2105,280,2022-09-24 02:53:49,apple_pay,4738.1,2021-10-13 21:42:10,2022-01-23 10:02:02
2106,482,2022-04-04 17:07:37,paypal,3135.86,2021-08-03 22:42:51,2022-02-07 01:40:15
2107,1470,2022-04-09 02:59:00,paypal,2680.4,2021-06-05 10:27:42,2022-10-15 16:53:42
2108,597,2022-05-08 04:16:01,debit_card,8178.23,2021-10-12 11:24:21,2022-08-19 23:13:47
2109,2691,2022-07-14 14:25:16,apple_pay,186.7,2021-12-04 23:35:20,2022-05-27 19:46:22
2110,206,2022-12-21 05:46:46,credit_card,9937.23,2021-05-07 20:59:23,2022-02-04 14:37:05
2111,457,2022-02-05 21:42:29,debit_card,5547.33,2021-08-10 16:14:55,2022-05-31 05:49:42
2112,1888,2022-04-08 00:05:13,paypal,8959.19,2021-08-26 08:42:07,2022-12-08 19:06:32
2113,258,2022-08-27 14:10:15,credit_card,9566.61,2021-05-15 18:05:58,2022-07-14 15:12:41
2114,1125,2022-10-20 03:37:50,apple_pay,1290.81,2021-04-27 11:24:52,2022-11-26 04:18:09
2115,435,2022-06-09 10:09:00,debit_card,3643.37,2021-03-31 04:32:53,2022-10-10 18:37:02
2116,1271,2022-10-28 12:13:11,credit_card,1499.47,2021-07-26 15:15:22,2022-01-08 22:27:20
2117,953,2022-06-11 13:36:32,paypal,7933.37,2021-05-18 10:44:29,2022-06-08 01:31:52
2118,1851,2022-07-16 06:56:37,apple_pay,1346.85,2021-10-21 03:09:37,2022-02-05 22:53:44
2119,168,2022-08-11 07:41:24,credit_card,8298.36,2021-05-20 05:36:59,2022-08-19 03:03:48
2120,2392,2022-12-14 18:38:37,debit_card,3159.94,2021-05-21 03:48:45,2022-07-05 09:24:12
2121,1934,2022-02-23 04:42:21,venmo,5162.43,2021-02-03 15:21:54,2022-05-28 04:28:06
