"review_id";"product_id";"user_id";"rating";"comment";"created_at";"updated_at"
1;449;836;5;"highly recommend!";"2021-06-01 16:47:03";"2022-07-01 14:42:35"
2;265;395;3;"will definitely buy again";"2021-03-19 05:50:57";"2022-03-02 11:51:51"
3;49;116;3;"will definitely buy again";"2021-04-27 16:11:26";"2022-11-04 15:16:43"
4;352;679;3;"Excellent customer service and product quality";"2021-01-02 22:10:10";"2022-11-28 23:24:48"
5;450;414;5;"great value for the price";"2021-06-14 06:47:51";"2022-07-13 22:27:35"
6;117;775;4;"highly recommend!";"2021-11-23 04:43:51";"2022-07-18 21:22:28"
7;173;68;3;"it's a game-changer";"2021-09-15 09:59:43";"2022-10-15 06:34:41"
8;98;792;3;"great value for the price";"2021-06-05 21:18:38";"2022-01-05 07:13:04"
9;457;533;5;"Fantastic product";"2021-04-05 09:23:18";"2022-02-25 12:02:26"
10;237;938;3;"Best purchase ever";"2021-01-06 12:28:18";"2022-01-19 08:38:02"
11;33;995;4;"Couldn't be happier with my purchase";"2021-04-10 10:53:36";"2022-06-11 17:44:47"
12;372;355;3;"Top-notch quality";"2021-09-09 06:13:48";"2022-11-16 22:26:20"
13;141;330;5;"Couldn't be happier with my purchase";"2021-11-27 15:33:16";"2022-01-17 23:39:51"
14;355;342;3;"worth every penny";"2021-03-20 06:05:03";"2022-02-26 22:49:33"
15;435;488;3;"Absolutely love this product";"2021-01-11 10:10:05";"2022-10-08 18:19:03"
16;449;653;5;"Couldn't be happier with my purchase";"2021-10-24 14:40:36";"2022-07-24 17:06:05"
17;362;538;3;"exceeded my expectations";"2021-12-20 01:35:35";"2022-06-26 10:05:31"
18;42;556;4;"Highly satisfied with the performance and features";"2021-01-10 03:27:08";"2022-11-04 09:55:25"
19;420;339;4;"will definitely buy again";"2021-10-23 10:37:43";"2022-07-06 08:19:01"
20;402;666;4;"Amazing quality";"2021-02-23 16:39:11";"2022-11-03 01:35:33"
21;454;754;3;"great value for the price";"2021-05-31 04:44:54";"2022-04-26 02:08:09"
22;409;49;5;"highly recommend!";"2021-05-04 04:36:41";"2022-10-03 18:17:30"
23;272;321;3;"Highly satisfied with the performance and features";"2021-06-15 09:22:39";"2022-06-16 13:24:13"
24;323;56;3;"worth every penny";"2021-08-25 11:34:28";"2022-08-12 06:08:44"
25;251;119;4;"it's a game-changer";"2021-02-18 20:14:10";"2022-02-03 07:07:51"
26;145;725;5;"it's a game-changer";"2021-08-20 21:31:50";"2022-06-03 00:54:29"
27;342;896;3;"Amazing quality";"2021-10-08 19:40:18";"2022-03-10 04:03:28"
28;214;816;3;"worth every penny";"2021-07-25 22:32:08";"2022-09-17 10:26:58"
29;406;455;5;"Best purchase ever";"2021-05-08 06:17:26";"2022-12-07 10:06:02"
30;489;697;5;"Top-notch quality";"2021-05-12 02:36:51";"2022-11-17 22:41:05"
31;337;682;3;"Fantastic product";"2021-08-09 19:21:35";"2022-07-07 13:06:58"
32;215;551;4;"Excellent customer service and product quality";"2021-07-13 22:49:57";"2022-12-26 01:45:54"
33;359;854;4;"Incredible product";"2021-03-14 18:48:50";"2022-10-02 22:13:44"
34;269;944;3;"Impressed with the durability and design";"2021-05-07 22:53:01";"2022-01-24 07:29:13"
35;204;806;3;"it's a game-changer";"2021-09-12 15:34:37";"2022-10-07 18:01:25"
36;321;821;3;"Amazing quality";"2021-12-20 17:16:44";"2022-06-11 16:11:44"
37;41;578;5;"Couldn't be happier with my purchase";"2021-07-10 07:56:31";"2022-02-22 22:35:55"
