"shipping_id";"order_id";"shipping_date";"shipping_method";"tracking_number";"status";"created_at";"updated_at"
1;414;"2022-11-26";"Standard Shipping";"8548916793";"cancelled";"2021-01-16 09:11:40";"2022-07-04 13:42:03"
2;2511;"2022-09-24";"Express Shipping";"1375792644";"pending";"2021-09-24 06:09:47";"2022-03-06 07:05:02"
3;150;"2022-05-20";"Priority Shipping";"2742081626";"active";"2021-05-22 04:55:49";"2022-05-16 08:01:09"
4;1770;"2022-04-01";"2-Day Shipping";"6432996076";"active";"2021-03-30 16:01:02";"2022-01-05 15:55:38"
5;999;"2022-10-28";"2-Day Shipping";"6585241315";"active";"2021-04-02 18:48:43";"2022-01-13 11:22:17"
6;965;"2022-06-25";"Priority Shipping";"4766193938";"on hold";"2021-03-03 06:07:13";"2022-11-10 19:57:26"
7;2487;"2022-08-23";"In-Store Pickup";"2632523631";"active";"2021-12-27 14:06:45";"2022-12-06 14:03:45"
8;50;"2022-03-19";"Next Day Delivery";"8425601053";"active";"2021-04-18 21:00:56";"2022-01-02 00:33:40"
9;1654;"2022-11-28";"Same-Day Delivery";"4903146108";"on hold";"2021-05-27 08:47:31";"2022-11-02 02:09:03"
10;789;"2022-06-13";"Next Day Delivery";"1097675365";"completed";"2021-08-05 11:18:08";"2022-06-09 11:54:43"
11;1201;"2022-08-26";"International Shipping";"8031827617";"completed";"2021-01-03 00:54:41";"2022-03-28 01:51:15"
12;2195;"2022-04-02";"International Shipping";"4139972043";"pending";"2021-09-18 13:01:59";"2022-08-24 13:41:41"
13;2097;"2022-03-18";"2-Day Shipping";"1948033591";"on hold";"2021-02-23 08:47:18";"2022-12-15 18:12:21"
14;1406;"2022-07-21";"International Shipping";"8660832725";"completed";"2021-10-25 08:16:59";"2022-08-06 16:40:27"
15;1964;"2022-04-18";"2-Day Shipping";"8629506824";"pending";"2021-05-16 13:22:33";"2022-07-11 01:04:09"
16;2162;"2022-04-12";"International Shipping";"3626006252";"completed";"2021-12-08 21:15:34";"2022-09-20 06:38:16"
17;429;"2022-06-11";"Priority Shipping";"9636339659";"completed";"2021-03-17 16:36:44";"2022-04-12 10:48:27"
18;601;"2022-10-03";"Priority Shipping";"1590531585";"on hold";"2021-03-26 05:44:25";"2022-09-13 13:55:56"
19;345;"2022-02-24";"Curbside Pickup";"1401921333";"pending";"2021-06-26 00:50:17";"2022-01-30 15:02:03"
20;2999;"2022-07-11";"Standard Shipping";"3739423956";"on hold";"2021-03-15 03:26:09";"2022-05-14 00:54:49"
21;187;"2022-06-18";"International Shipping";"9687659457";"on hold";"2021-10-12 16:22:41";"2022-10-20 04:16:38"
22;2022;"2022-01-13";"Free Shipping";"8142462650";"active";"2021-07-07 09:56:36";"2022-01-06 21:22:56"
23;688;"2022-07-21";"Same-Day Delivery";"6353670876";"on hold";"2021-07-25 08:33:11";"2022-11-16 20:29:11"
24;2078;"2022-07-30";"Same-Day Delivery";"9701266555";"pending";"2021-12-24 05:17:40";"2022-12-24 20:59:53"
25;987;"2022-06-09";"In-Store Pickup";"6543119440";"on hold";"2021-06-26 05:44:35";"2022-02-14 11:16:42"
26;2563;"2022-04-29";"International Shipping";"7454588921";"cancelled";"2021-11-29 11:05:55";"2022-02-12 06:55:16"
27;148;"2022-03-23";"Next Day Delivery";"7229778557";"active";"2021-11-22 16:45:11";"2022-06-15 21:49:56"
28;773;"2022-04-01";"Same-Day Delivery";"3715687522";"completed";"2021-01-08 20:58:30";"2022-12-26 19:09:36"
29;592;"2022-01-19";"Curbside Pickup";"7498857489";"on hold";"2021-07-16 12:34:03";"2022-09-09 01:48:28"
30;616;"2022-08-03";"Same-Day Delivery";"6773710291";"cancelled";"2021-03-25 10:43:20";"2022-07-18 11:18:19"
31;248;"2022-05-11";"Express Shipping";"5786070580";"cancelled";"2021-11-04 10:37:37";"2022-06-23 07:56:53"
32;89;"2022-11-18";"2-Day Shipping";"6963682351";"active";"2021-04-05 10:26:40";"2022-10-01 04:41:50"
33;1216;"2022-10-26";"Free Shipping";"9408811636";"on hold";"2021-11-05 20:03:00";"2022-03-07 12:45:26"
34;132;"2022-08-30";"2-Day Shipping";"4760579059";"on hold";"2021-08-12 13:02:27";"2022-01-16 03:06:54"
35;1627;"2022-04-01";"Priority Shipping";"9777911346";"on hold";"2021-10-31 11:48:15";"2022-11-08 17:35:30"
36;1702;"2022-02-03";"Express Shipping";"8450858020";"completed";"2021-07-30 22:03:35";"2022-09-25 21:25:08"
37;2205;"2022-10-26";"Curbside Pickup";"9235374832";"cancelled";"2021-02-21 01:21:25";"2022-06-10 19:08:08"
38;1209;"2022-12-24";"International Shipping";"7414259285";"cancelled";"2021-11-11 03:45:36";"2022-11-26 13:14:41"
39;1258;"2022-01-02";"2-Day Shipping";"6806725914";"cancelled";"2021-01-09 00:11:59";"2022-07-29 10:31:56"
40;351;"2022-03-18";"Curbside Pickup";"4887318253";"on hold";"2021-02-09 11:36:33";"2022-06-04 02:31:26"
41;949;"2022-11-01";"Curbside Pickup";"8036464821";"active";"2021-11-23 22:50:38";"2022-12-16 11:11:33"
42;456;"2022-04-05";"Curbside Pickup";"9203224770";"on hold";"2021-09-03 03:52:39";"2022-12-28 07:22:50"
43;2708;"2022-03-13";"Express Shipping";"1421843739";"cancelled";"2021-09-18 03:37:27";"2022-09-12 16:50:11"
44;893;"2022-11-06";"Express Shipping";"6708547910";"pending";"2021-10-07 16:49:19";"2022-01-23 17:32:11"
45;512;"2022-08-21";"Same-Day Delivery";"5465498475";"active";"2021-08-19 08:50:48";"2022-12-28 03:53:12"
46;1909;"2022-10-29";"Curbside Pickup";"2472879050";"on hold";"2021-11-15 10:21:00";"2022-11-20 00:34:31"
47;1794;"2022-04-03";"Priority Shipping";"7391263737";"active";"2021-05-18 10:17:23";"2022-03-24 01:29:42"
48;2664;"2022-05-09";"Standard Shipping";"3095020607";"completed";"2021-09-05 20:43:12";"2022-06-30 05:19:35"
49;1401;"2022-08-19";"Free Shipping";"5815017824";"on hold";"2021-10-28 21:27:47";"2022-10-31 13:46:35"
50;2231;"2022-06-08";"Same-Day Delivery";"3284901649";"completed";"2021-01-23 21:37:20";"2022-08-23 19:04:18"
51;812;"2022-03-31";"Standard Shipping";"9911974044";"cancelled";"2021-09-13 15:08:01";"2022-10-14 23:01:20"
52;333;"2022-07-08";"Priority Shipping";"2335487718";"cancelled";"2021-07-31 23:09:56";"2022-04-18 23:42:30"
53;698;"2022-08-10";"Standard Shipping";"2229128185";"on hold";"2021-12-19 03:50:14";"2022-08-10 18:36:40"
54;295;"2022-02-23";"Express Shipping";"6531560312";"active";"2021-02-19 08:57:07";"2022-06-25 17:24:43"
55;1322;"2022-04-13";"In-Store Pickup";"9518645660";"on hold";"2021-11-20 07:35:23";"2022-11-28 08:48:30"
56;1926;"2022-04-05";"In-Store Pickup";"7791534605";"pending";"2021-06-04 12:04:25";"2022-10-12 04:59:57"
57;2295;"2022-11-10";"Standard Shipping";"9349756478";"on hold";"2021-06-30 19:15:02";"2022-02-23 06:45:20"
58;1422;"2022-10-03";"Standard Shipping";"5431924028";"active";"2021-03-27 16:08:40";"2022-06-22 08:10:57"
59;474;"2022-10-02";"Curbside Pickup";"1309088811";"cancelled";"2021-02-25 15:29:35";"2022-01-15 00:00:32"
60;764;"2022-05-15";"International Shipping";"6164563742";"cancelled";"2021-02-02 00:34:45";"2022-04-15 02:36:44"
61;315;"2022-09-19";"Same-Day Delivery";"2778020817";"active";"2021-04-22 04:06:38";"2022-03-01 21:21:40"
62;1259;"2022-06-04";"Priority Shipping";"2523449184";"active";"2021-08-25 13:15:30";"2022-09-29 11:15:19"
63;2557;"2022-11-30";"In-Store Pickup";"4401144482";"completed";"2021-03-01 20:12:57";"2022-12-26 06:40:15"
