shipping_id,order_id,shipping_date,shipping_method,tracking_number,status,created_at,updated_at
1001,1063,2022-05-04 21:50:08,International Shipping,5850891222,completed,2021-09-17 09:58:01,2022-07-07 17:36:32
1002,1951,2022-08-22 14:14:29,2-Day Shipping,1470939603,completed,2021-05-29 17:23:52,2022-08-05 07:44:49
1003,2921,2022-09-18 09:06:23,Curbside Pickup,7060007587,completed,2021-06-30 11:57:46,2022-11-06 17:24:51
1004,2546,2022-08-09 05:09:48,International Shipping,3519120116,pending,2021-12-01 06:43:17,2022-10-11 16:46:11
1005,48,2022-12-26 03:58:39,Next Day Delivery,5089130533,cancelled,2021-10-21 05:19:02,2022-03-26 10:50:28
1006,2741,2022-03-26 06:04:02,Priority Shipping,8031676720,pending,2021-05-22 14:23:57,2022-05-28 08:18:30
1007,2677,2022-12-22 11:35:32,Curbside Pickup,8469116500,active,2021-11-17 12:30:07,2022-08-31 14:20:28
1008,2843,2022-05-02 17:14:50,Express Shipping,1750409895,active,2021-09-06 02:40:21,2022-03-05 03:33:33
1009,558,2022-02-08 04:04:04,Free Shipping,7826613486,cancelled,2021-05-27 07:13:35,2022-06-19 22:45:43
1010,679,2022-06-11 03:57:10,International Shipping,9035570798,completed,2021-05-30 04:05:12,2022-07-07 14:58:29
1011,1535,2022-03-26 10:43:05,In-Store Pickup,5509516077,active,2021-10-28 03:03:18,2022-05-15 11:01:43
1012,535,2022-11-04 17:40:17,2-Day Shipping,7088792354,completed,2021-01-19 01:50:41,2022-01-01 12:49:59
1013,2253,2022-04-22 23:32:59,Standard Shipping,1771676073,active,2021-08-03 04:44:09,2022-04-06 15:04:57
1014,985,2022-11-11 07:37:37,Curbside Pickup,6079302972,completed,2021-05-25 12:29:14,2022-06-01 15:50:39
1015,980,2022-07-25 23:16:47,Express Shipping,2730085702,active,2021-10-11 15:33:57,2022-01-03 14:49:01
1016,1489,2022-10-06 13:37:45,Priority Shipping,3296867313,on hold,2021-11-20 05:33:28,2022-12-02 17:47:05
1017,2439,2022-08-27 08:10:25,Standard Shipping,7649752656,cancelled,2021-07-19 14:28:19,2022-11-17 23:23:31
1018,1125,2022-03-18 14:42:34,Curbside Pickup,9371919361,on hold,2021-04-16 23:45:39,2022-05-19 05:25:43
1019,1457,2022-01-25 20:22:37,Next Day Delivery,3842117838,active,2021-03-13 15:27:05,2022-11-25 13:44:15
1020,2802,2022-05-14 06:19:02,Free Shipping,8955215753,cancelled,2021-07-30 12:26:43,2022-03-15 01:16:51
1021,2894,2022-08-07 07:02:33,Express Shipping,9699132606,pending,2021-08-13 17:36:29,2022-10-06 00:39:38
1022,1394,2022-11-19 07:09:39,International Shipping,6730529892,cancelled,2021-02-08 00:55:25,2022-07-14 22:38:31
1023,1518,2022-04-16 22:27:12,Standard Shipping,6778398975,completed,2021-03-11 00:48:45,2022-12-19 20:56:20
1024,2040,2022-11-03 01:55:19,Next Day Delivery,4698522028,completed,2021-12-18 08:45:13,2022-10-15 02:30:34
1025,2596,2022-06-03 08:47:27,Next Day Delivery,4538855706,cancelled,2021-06-11 16:36:52,2022-11-13 06:23:20
1026,1939,2022-04-06 23:45:09,2-Day Shipping,6062173884,active,2021-01-07 13:53:27,2022-01-15 04:58:42
1027,1247,2022-03-06 04:37:06,International Shipping,6227254029,on hold,2021-07-23 19:46:03,2022-06-23 10:43:17
1028,396,2022-08-14 23:25:19,International Shipping,9833449473,active,2021-06-11 06:28:34,2022-05-04 20:59:29
1029,596,2022-01-25 10:40:16,Express Shipping,7325743493,cancelled,2021-11-13 08:26:23,2022-06-18 22:18:26
1030,2300,2022-06-02 02:46:20,Express Shipping,9522358642,completed,2021-11-06 20:48:48,2022-04-05 09:00:15
1031,2772,2022-10-08 13:29:41,Curbside Pickup,8309543632,active,2021-09-03 12:53:57,2022-03-31 15:22:58
1032,1843,2022-08-26 02:06:44,Next Day Delivery,6870203169,active,2021-01-20 07:45:21,2022-03-14 16:30:44
1033,2972,2022-09-11 01:56:44,Same-Day Delivery,8459775912,cancelled,2021-02-28 22:08:59,2022-10-10 05:01:25
1034,2066,2022-08-28 19:35:14,Standard Shipping,5320960437,pending,2021-12-22 13:10:30,2022-09-01 02:39:43
1035,1866,2022-09-10 08:26:13,International Shipping,7707408107,cancelled,2021-10-19 14:32:52,2022-03-23 00:00:40
1036,288,2022-12-07 13:26:20,Free Shipping,9850589887,cancelled,2021-11-15 03:28:47,2022-07-31 15:25:24
1037,1195,2022-03-29 22:18:31,In-Store Pickup,3531787639,on hold,2021-08-25 04:45:41,2022-06-11 23:51:42
1038,694,2022-09-16 22:21:52,Free Shipping,7269715778,cancelled,2021-02-11 18:36:35,2022-01-29 10:34:21
1039,120,2022-08-11 01:43:23,Express Shipping,6195762624,active,2021-06-02 08:28:26,2022-11-12 03:29:18
1040,507,2022-03-06 00:30:03,In-Store Pickup,1048290715,on hold,2021-06-29 05:07:57,2022-10-23 15:52:25
1041,1913,2022-11-22 13:06:01,Same-Day Delivery,4726966352,active,2021-03-01 00:29:54,2022-09-03 21:59:02
1042,1580,2022-01-07 13:10:41,International Shipping,6666833799,cancelled,2021-01-21 11:06:31,2022-11-26 05:48:11
1043,1507,2022-04-15 04:39:24,Free Shipping,2587049933,cancelled,2021-11-22 07:05:42,2022-05-16 13:18:49
1044,180,2022-06-12 07:48:09,Express Shipping,3770850294,cancelled,2021-03-15 08:42:05,2022-12-25 21:05:39
1045,1454,2022-12-04 17:29:05,International Shipping,8913213303,completed,2021-08-20 13:54:41,2022-06-13 00:37:46
1046,1109,2022-10-12 02:17:20,Same-Day Delivery,4465070763,pending,2021-12-23 07:20:41,2022-10-29 03:15:20
1047,2363,2022-08-03 06:32:45,International Shipping,8826591459,cancelled,2021-12-07 10:06:55,2022-06-02 09:42:47
1048,2041,2022-12-11 10:03:37,Curbside Pickup,8483237795,pending,2021-07-19 21:28:59,2022-06-02 00:52:32
1049,991,2022-03-23 05:23:17,Next Day Delivery,1804412006,completed,2021-07-23 05:37:09,2022-07-07 09:20:21
1050,54,2022-12-24 22:08:11,Standard Shipping,7849602373,active,2021-07-30 00:22:44,2022-02-23 10:24:18
1051,1692,2022-09-08 09:30:37,In-Store Pickup,5533243621,on hold,2021-08-31 07:55:13,2022-06-02 09:24:14
1052,521,2022-04-25 16:18:40,Next Day Delivery,8991270673,pending,2021-05-26 05:18:27,2022-04-12 06:54:22
1053,16,2022-08-29 13:45:10,International Shipping,8722422036,pending,2021-09-16 00:13:46,2022-07-05 10:14:27
1054,2298,2022-01-30 15:58:23,Curbside Pickup,6389459839,cancelled,2021-02-20 22:30:25,2022-12-03 23:52:01
1055,2484,2022-01-23 23:48:46,Standard Shipping,8272277480,active,2021-05-27 08:46:22,2022-12-01 15:48:28
1056,1665,2022-01-07 04:27:38,Standard Shipping,3348273745,on hold,2021-04-18 13:04:40,2022-10-09 12:32:01
1057,2629,2022-02-13 23:01:12,Express Shipping,7699770979,active,2021-10-17 02:57:07,2022-10-02 07:21:44
1058,2914,2022-05-27 03:48:35,Next Day Delivery,8992802562,pending,2021-01-02 23:10:05,2022-10-20 23:05:09
