wishlist_id,user_id,product_id,created_at,updated_at
1001,886,10,2021-04-05 14:58:22,2022-04-19 02:51:54
1002,812,203,2021-08-12 20:54:12,2022-09-01 18:44:05
1003,708,73,2021-07-02 13:10:53,2022-11-29 21:18:23
1004,459,305,2021-01-17 10:06:28,2022-06-19 01:25:22
1005,622,298,2021-09-20 12:58:08,2022-01-01 08:09:20
1006,583,4,2021-07-14 08:04:04,2022-04-23 17:47:41
1007,300,240,2021-03-16 06:54:41,2022-02-12 09:10:38
1008,867,462,2021-05-26 05:49:01,2022-07-18 17:09:26
1009,592,184,2021-04-11 11:50:49,2022-05-08 02:07:17
1010,129,59,2021-10-23 17:43:51,2022-05-30 09:18:23
1011,643,224,2021-07-21 06:26:07,2022-06-05 17:36:24
1012,471,286,2021-03-09 16:34:56,2022-07-09 16:21:51
1013,655,5,2021-12-14 04:29:46,2022-11-17 02:39:59
1014,844,431,2021-03-29 16:46:28,2022-04-16 09:10:00
1015,994,237,2021-02-11 08:33:40,2022-04-15 07:52:55
1016,822,452,2021-02-10 08:06:27,2022-11-04 18:41:13
1017,57,494,2021-08-14 06:25:26,2022-08-08 23:20:18
1018,15,78,2021-03-04 02:51:59,2022-03-14 00:08:31
1019,376,144,2021-12-14 15:46:40,2022-11-02 23:05:42
1020,148,416,2021-09-16 23:44:04,2022-11-09 12:24:05
1021,83,237,2021-06-15 17:52:34,2022-11-07 12:19:15
1022,503,106,2021-11-18 12:26:00,2022-02-02 18:32:50
1023,505,118,2021-06-06 15:37:15,2022-09-28 20:52:22
1024,106,30,2021-06-08 03:28:27,2022-04-20 00:12:15
1025,444,248,2021-05-22 04:11:14,2022-03-29 10:15:13
1026,48,275,2021-07-10 11:23:33,2022-01-31 16:14:02
1027,333,232,2021-03-25 11:08:45,2022-02-20 23:13:45
1028,348,211,2021-10-04 16:28:02,2022-08-11 03:02:48
1029,155,24,2021-09-03 05:39:09,2022-06-02 09:52:54
1030,142,366,2021-09-09 23:58:43,2022-09-27 05:18:18
1031,408,109,2021-05-04 21:33:28,2022-02-26 06:40:19
1032,966,228,2021-05-09 14:15:05,2022-10-20 02:29:38
1033,422,243,2021-12-09 21:36:45,2022-08-11 11:43:40
1034,431,114,2021-12-23 04:49:25,2022-05-06 15:01:58
1035,110,190,2021-03-24 17:46:02,2022-01-11 22:45:57
1036,23,477,2021-02-28 04:51:43,2022-11-18 09:20:04
1037,975,399,2021-05-17 08:46:37,2022-09-21 21:45:41
1038,699,476,2021-09-25 07:56:18,2022-04-16 14:02:36
1039,656,152,2021-04-21 19:17:56,2022-07-06 23:00:43
1040,212,249,2021-02-18 15:19:03,2022-03-28 03:18:30
1041,307,310,2021-07-24 01:16:38,2022-03-20 22:32:53
1042,710,434,2021-01-19 02:47:47,2022-09-21 16:15:46
1043,634,91,2021-11-11 10:49:49,2022-04-24 06:46:33
1044,774,57,2021-10-27 00:43:51,2022-11-14 03:41:38
1045,185,99,2021-11-14 03:55:16,2022-06-09 14:51:52
1046,234,38,2021-08-08 18:33:31,2022-08-31 11:09:48
1047,187,308,2021-07-15 15:04:30,2022-02-20 13:20:49
1048,446,278,2021-05-11 16:49:57,2022-01-05 21:32:10
1049,976,460,2021-04-24 18:11:26,2022-07-30 16:02:41
1050,306,495,2021-07-06 23:35:44,2022-04-24 03:24:15
1051,292,111,2021-05-09 09:21:31,2022-08-02 17:52:53
1052,772,93,2021-06-14 07:51:10,2022-07-04 11:19:37
1053,871,439,2021-11-07 19:16:22,2022-01-11 22:16:53
1054,328,264,2021-07-17 08:11:33,2022-05-29 17:09:20
1055,136,150,2021-02-21 17:24:08,2022-07-14 10:59:21
1056,850,452,2021-04-29 10:18:48,2022-03-22 22:45:53
1057,452,211,2021-09-09 05:11:20,2022-07-19 14:15:19
